Timestamp,Packet Length,Protocol,Gap,Label
1769957235.513504,100,1,0,0
1769957235.513504,54,1,0,0
1769957235.513504,54,1,0,0
1769957235.513504,294,1,0,0
1769957235.513504,1292,2,0,0
1769957235.513924,54,1,0,0
1769957235.514175,73,2,0,0
1769957235.514517,54,1,0,0
1769957235.515142,66,1,0,0
1769957235.517026,1292,2,0,0
1769957235.517026,1292,2,0,0
1769957235.517271,73,2,0,0
1769957235.517565,134,2,0,0
1769957235.519427,1292,2,0,0
1769957235.519427,1292,2,0,0
1769957235.519427,1292,2,0,0
1769957235.519661,1292,2,0,0
1769957235.519954,73,2,0,0
1769957235.520175,73,2,0,0
1769957235.521463,1292,2,0,0
1769957235.521463,1292,2,0,0
1769957235.521931,73,2,0,0
1769957235.523866,1288,2,0,0
1769957235.523866,1292,2,0,0
1769957235.524002,1292,2,0,0
1769957235.524002,1292,2,0,0
1769957235.524002,1292,2,0,0
1769957235.524002,1292,2,0,0
1769957235.524767,1292,2,0,0
1769957235.524767,1292,2,0,0
1769957235.524767,1292,2,0,0
1769957235.525225,78,2,0,0
1769957235.525537,1292,2,0,0
1769957235.525537,1292,2,0,0
1769957235.526334,1292,2,0,0
1769957235.526334,1292,2,0,0
1769957235.526784,73,2,0,0
1769957235.527681,1292,2,0,0
1769957235.527681,1292,2,0,0
1769957235.527931,79,2,0,0
1769957235.529303,1292,2,0,0
1769957235.529303,1292,2,0,0
1769957235.529303,1292,2,0,0
1769957235.529457,1292,2,0,0
1769957235.529746,73,2,0,0
1769957235.529856,1292,2,0,0
1769957235.529856,1292,2,0,0
1769957235.530862,1292,2,0,0
1769957235.530862,1292,2,0,0
1769957235.530862,1292,2,0,0
1769957235.530862,1292,2,0,0
1769957235.531049,1292,2,0,0
1769957235.531049,1292,2,0,0
1769957235.531371,73,2,0,0
1769957235.531581,73,2,0,0
1769957235.531674,1292,2,0,0
1769957235.533531,1292,2,0,0
1769957235.533531,1292,2,0,0
1769957235.533531,1292,2,0,0
1769957235.53393,74,2,0,0
1769957235.535463,786,2,0,0
1769957235.535905,1292,2,0,0
1769957235.536074,1292,2,0,0
1769957235.536074,1292,2,0,0
1769957235.536074,1292,2,0,0
1769957235.536733,73,2,0,0
1769957235.536825,73,2,0,0
1769957235.538792,1292,2,0,0
1769957235.538792,1292,2,0,0
1769957235.538792,1292,2,0,0
1769957235.538792,1292,2,0,0
1769957235.539213,73,2,0,0
1769957235.539316,74,2,0,0
1769957235.543947,78,2,0,0
1769957235.544239,141,2,0,0
1769957235.545205,1292,2,0,0
1769957235.545342,1292,2,0,0
1769957235.545342,1292,2,0,0
1769957235.545342,1292,2,0,0
1769957235.545342,1292,2,0,0
1769957235.545453,1292,2,0,0
1769957235.545453,1292,2,0,0
1769957235.545515,1292,2,0,0
1769957235.5457,74,2,0,0
1769957235.545778,74,2,0,0
1769957235.54581,74,2,0,0
1769957235.545839,74,2,0,0
1769957235.545972,1292,2,0,0
1769957235.546103,1292,2,0,0
1769957235.546103,1292,2,0,0
1769957235.546103,1292,2,0,0
1769957235.546103,54,1,0,0
1769957235.546103,54,1,0,0
1769957235.546254,54,1,0,0
1769957235.546319,74,2,0,0
1769957235.546356,54,1,0,0
1769957235.546422,74,2,0,0
1769957235.546901,66,1,0,0
1769957235.547009,54,1,0,0
1769957235.547639,1494,1,0,0
1769957235.547639,446,1,0,0
1769957235.549016,1292,2,0,0
1769957235.549016,1292,2,0,0
1769957235.549355,75,2,0,0
1769957235.550648,1292,2,0,0
1769957235.550648,1292,2,0,0
1769957235.550648,1292,2,0,0
1769957235.550648,1292,2,0,0
1769957235.550803,1292,2,0,0
1769957235.550803,1292,2,0,0
1769957235.550983,75,2,0,0
1769957235.551068,75,2,0,0
1769957235.5511,75,2,0,0
1769957235.551393,75,2,0,0
1769957235.553314,1292,2,0,0
1769957235.553314,1292,2,0,0
1769957235.553314,1292,2,0,0
1769957235.553314,1292,2,0,0
1769957235.553314,1292,2,0,0
1769957235.553314,1292,2,0,0
1769957235.553506,1292,2,0,0
1769957235.553506,1292,2,0,0
1769957235.553702,75,2,0,0
1769957235.55395,80,2,0,0
1769957235.554108,75,2,0,0
1769957235.554149,75,2,0,0
1769957235.55739,1292,2,0,0
1769957235.55773,74,2,0,0
1769957235.55977,1292,2,0,0
1769957235.55977,1292,2,0,0
1769957235.55977,1292,2,0,0
1769957235.55977,1292,2,0,0
1769957235.55977,1292,2,0,0
1769957235.55977,1292,2,0,0
1769957235.55977,1292,2,0,0
1769957235.55977,1292,2,0,0
1769957235.55977,1292,2,0,0
1769957235.55977,1292,2,0,0
1769957235.560055,1292,2,0,0
1769957235.560437,74,2,0,0
1769957235.560638,74,2,0,0
1769957235.560749,74,2,0,0
1769957235.560845,74,2,0,0
1769957235.560937,74,2,0,0
1769957235.562145,1292,2,0,0
1769957235.562145,1292,2,0,0
1769957235.562145,1292,2,0,0
1769957235.562145,1292,2,0,0
1769957235.562247,1292,2,0,0
1769957235.562247,1292,2,0,0
1769957235.562247,1292,2,0,0
